,episodes,rewards,variances
0,0,27.0,3.10441367399051
1,1,26.962,3.0719452319125695
2,2,26.849999999999994,3.056567557159745
3,3,26.710000000000004,3.031707869199581
4,4,26.646000000000004,2.995975931005899
5,5,26.534,2.9668322794753736
6,6,26.398,2.9399133385911105
7,7,26.260000000000005,2.907702526305171
8,8,26.140000000000004,2.8707299449210932
9,9,26.03,2.8483661069403743
10,10,25.910000000000004,2.819985243016943
11,11,25.826,2.797779033017546
12,12,25.754000000000005,2.7804563714133925
13,13,25.630000000000003,2.757754003025597
14,14,25.502,2.73828565734178
15,15,25.365999999999996,2.7165907281479225
16,16,25.228000000000005,2.6928675762713112
17,17,25.162000000000003,2.67933240950953
18,18,25.177999999999997,2.6863660606918485
19,19,25.063999999999997,2.6688960219397697
20,20,24.955999999999996,2.6506425276259464
21,21,24.884000000000004,2.639754187489882
22,22,24.728,2.614783566215022
23,23,24.6,2.5960246050451836
24,24,24.465999999999998,2.574313813013164
25,25,24.330000000000005,2.5514507515333293
26,26,24.202,2.531257444616396
27,27,24.05,2.5069454955368684
28,28,24.011999999999993,2.510854629570047
29,29,23.86,2.4907937759395624
30,30,23.698000000000008,2.4653365221795958
31,31,23.618000000000002,2.4649720109597215
32,32,23.446000000000005,2.438484243640192
33,33,23.270000000000003,2.41181557409059
34,34,23.108,2.385824084761055
35,35,22.943999999999996,2.3599190980915083
36,36,22.763999999999996,2.332280617486607
37,37,22.595999999999997,2.3059735825516148
38,38,22.421999999999993,2.278300827005367
39,39,22.256000000000004,2.2521638271153064
40,40,22.113999999999997,2.2334228980796866
41,41,21.953999999999997,2.2117173043269482
42,42,21.786000000000005,2.1841590686204686
43,43,21.645999999999997,2.164501027523006
44,44,21.543999999999997,2.1606597246751593
45,45,21.451999999999998,2.162356210912155
46,46,21.291999999999994,2.141800811514392
47,47,21.245999999999995,2.159997607273196
48,48,21.452000000000005,2.274406193566428
49,49,21.640000000000004,2.3927289646234793
50,50,21.848,2.5268247588697235
51,51,22.053999999999995,2.6690477761706495
52,52,22.258000000000003,2.81862286253477
53,53,22.462000000000003,2.973589274687584
54,54,22.67,3.133952053643616
55,55,22.873999999999995,3.2988038690814387
56,56,23.075999999999993,3.467761776681728
57,57,23.280000000000005,3.6396805176874145
58,58,23.484,3.8144356775840285
59,59,23.69,3.9911741954383975
60,60,23.898,4.169687392636865
61,61,24.099999999999998,4.350751063301004
62,62,24.301999999999996,4.5334573053923
63,63,24.508000000000006,4.7169854553144575
64,64,24.716000000000005,4.9013881163061
65,65,24.924,5.087023340487703
66,66,25.128,5.274316832494711
67,67,25.336,5.46181988744323
68,68,25.541999999999994,5.650588587295165
69,69,25.748000000000005,5.840141654920457
70,70,25.954,6.03006343856747
71,71,26.16,6.220920681086552
72,72,26.36,6.4124894899199125
73,73,26.561999999999998,6.604356173832036
74,74,26.764,6.797406872054905
75,75,26.957999999999995,6.984262493940162
76,76,27.155999999999995,7.170325636782475
77,77,27.360000000000007,7.364012122276621
78,78,27.564000000000004,7.558031337927397
79,79,27.768,7.752385417297912
80,80,27.971999999999998,7.947029916514817
81,81,28.171999999999993,8.14272233167958
82,82,28.372000000000003,8.338683323128773
83,83,28.576,8.533571525619877
84,84,28.784000000000002,8.728905458780806
85,85,28.987999999999996,8.92471914946119
86,86,29.189999999999994,9.12085641652325
87,87,29.389999999999997,9.317846980367142
88,88,29.600000000000005,9.513271155533394
89,89,29.802,9.709913747900476
90,90,30.008000000000003,9.905876982158023
91,91,30.215999999999994,10.101849543776257
92,92,30.417999999999992,10.299482085864174
93,93,30.618000000000002,10.496769543112
94,94,30.820000000000007,10.693442458832909
95,95,31.026000000000003,10.88998550408432
96,96,31.228,11.086850589399438
97,97,31.434,11.283579161998759
98,98,31.632,11.482093456931262
99,99,31.836,11.679104025637699
100,100,32.041999999999994,11.87608336085519
101,101,32.296,12.05269002512164
102,102,32.61600000000001,12.243180050031935
103,103,32.96600000000001,12.43708707723262
104,104,33.242000000000004,12.607187056232384
105,105,33.56799999999999,12.786363922000396
106,106,33.904,12.979194169722957
107,107,34.246,13.166151518807755
108,108,34.568,13.35481928665329
109,109,34.978,13.494674974764566
110,110,35.336000000000006,13.666826860900569
111,111,35.65400000000001,13.819630718085751
112,112,35.948,13.972662012523015
113,113,36.324,14.149898885713846
114,114,36.684,14.327474322989586
115,115,37.054,14.500230742704291
116,116,37.43,14.669647562449532
117,117,37.708000000000006,14.817269018533496
118,118,37.898,14.920372169670618
119,119,38.217999999999996,15.093360810978126
120,120,38.532000000000004,15.258383059980257
121,121,38.818000000000005,15.403092801312123
122,122,39.18600000000001,15.595164282232323
123,123,39.538,15.771014266421378
124,124,39.89,15.951530556135774
125,125,40.242,16.137480853719598
126,126,40.583999999999996,16.321074202233593
127,127,40.96799999999999,16.511691623776883
128,128,41.211999999999996,16.645390737155815
129,129,41.592000000000006,16.83034791309811
130,130,42.106,17.016796151400925
131,131,42.42,17.166057279502134
132,132,42.861999999999995,17.363030868840696
133,133,43.245999999999995,17.562463412483307
134,134,43.646,17.752587228801435
135,135,44.018,17.949702811258465
136,136,44.44199999999999,18.136159185795098
137,137,44.821999999999996,18.332207387798647
138,138,45.086,18.47062171981947
139,139,46.166,18.500662132019713
140,140,47.12599999999999,18.540572407136175
141,141,48.192,18.58595581666387
142,142,49.24,18.667513927634445
143,143,50.35,18.70840676550795
144,144,51.406000000000006,18.721097090136926
145,145,52.46400000000001,18.737881448110027
146,146,53.59,18.790374627299457
147,147,54.606,18.787861410276562
148,148,55.370000000000005,18.65688864221123
149,149,56.148,18.539290258224657
150,150,56.91,18.415428159398886
151,151,57.70399999999999,18.291654569889698
152,152,58.49199999999999,18.172061083289776
153,153,59.396,18.042520086153687
154,154,60.222,17.925424718184917
155,155,61.211999999999996,17.791604053714963
156,156,62.338,17.64377185711245
157,157,63.142,17.53820119334215
158,158,64.23400000000001,17.40460596754917
159,159,65.33399999999999,17.237304134237572
160,160,66.45400000000001,17.09414733017805
161,161,67.922,16.906697584983664
162,162,69.45,16.710914288051168
163,163,70.962,16.51752288833488
164,164,72.484,16.32306557165294
165,165,74.006,16.128606601444734
166,166,75.532,15.934039669039896
167,167,77.054,15.740035660431861
168,168,78.578,15.54595888387016
169,169,80.102,15.352098490319866
170,170,81.626,15.158649388434364
171,171,83.14999999999999,14.96545044899096
172,172,84.67999999999999,14.771620602746387
173,173,86.208,14.578514078500492
174,174,87.736,14.385478358915105
175,175,89.24999999999999,14.200804588495968
176,176,90.782,14.015401783775166
177,177,92.30799999999999,13.823583687029743
178,178,93.83399999999999,13.631939330270168
179,179,95.36,13.44078544805504
180,180,96.886,13.25000251140787
181,181,98.416,13.059069005158118
182,182,99.92800000000001,12.870162929592587
183,183,101.448,12.680973465341834
184,184,102.96999999999998,12.49217949062236
185,185,104.496,12.303376161309002
186,186,106.02399999999999,12.114701129034646
187,187,107.55399999999999,11.926602558636162
188,188,109.074,11.740323893885266
189,189,110.602,11.553619058365793
190,190,112.126,11.367537646717384
191,191,113.648,11.182614895825274
192,192,115.176,10.99759992962269
193,193,116.66,10.790648386643253
194,194,118.188,10.606740372391265
195,195,119.71199999999999,10.424062676287335
196,196,121.24,10.241579531882294
197,197,122.764,10.060683315718006
198,198,124.29599999999999,9.880054120667298
199,199,125.822,9.700526745482167
200,200,127.34599999999999,9.52235547978195
201,201,128.86,9.34559222394192
202,202,130.29800000000003,9.167612487619015
203,203,131.80999999999997,8.992123601431754
204,204,133.32800000000003,8.817978085018716
205,205,134.84400000000002,8.646069221895855
206,206,136.32,8.478351764690668
207,207,137.826,8.30900989327137
208,208,139.35399999999998,8.13927668756624
209,209,140.78400000000002,7.96607486536802
210,210,142.26600000000002,7.798133993112519
211,211,143.762,7.632721753520605
212,212,145.148,7.496322145972898
213,213,146.62599999999998,7.335881730752795
214,214,148.124,7.172944347188982
215,215,149.562,7.02316609026737
216,216,151.054,6.8630366144173625
217,217,152.572,6.709835875104048
218,218,154.08999999999997,6.5581249375686115
219,219,155.526,6.417249460113991
220,220,157.05,6.27191359096987
221,221,158.566,6.12884250457077
222,222,160.08399999999997,5.990251071880604
223,223,161.59,5.855795291450204
