,episodes,rewards,variances
0,0,21.2,1.4673956521674718
1,1,21.144000000000002,1.4506801267311111
2,2,21.094,1.4364674517074223
3,3,21.014,1.4172814169440078
4,4,20.930000000000003,1.3988978134919616
5,5,20.862000000000002,1.3855028990707068
6,6,20.764000000000003,1.3673435583208342
7,7,20.656,1.3543163905262865
8,8,20.543999999999997,1.3381944446750853
9,9,20.437999999999995,1.3232533669513742
10,10,20.326,1.3073714365658093
11,11,20.210000000000004,1.2933611824034876
12,12,20.115999999999996,1.2799332163929205
13,13,20.009999999999998,1.2640444714985013
14,14,19.894000000000005,1.2500469728211252
15,15,19.778,1.2362519346125744
16,16,19.656000000000002,1.2222437772089192
17,17,19.531999999999996,1.207171811853364
18,18,19.410000000000004,1.192033432292779
19,19,19.293999999999997,1.1782401352032208
20,20,19.182,1.1652218408637582
21,21,19.065999999999995,1.1519207456099865
22,22,18.948,1.1375578255550272
23,23,18.830000000000005,1.1243232326521948
24,24,18.709999999999997,1.1093809219977566
25,25,18.594000000000005,1.0955882062128055
26,26,18.480000000000004,1.0812389155929378
27,27,18.374,1.0671250063449298
28,28,18.262000000000004,1.0524037899195524
29,29,18.146000000000004,1.0381731089595156
30,30,18.031999999999996,1.0229239922797202
31,31,17.918000000000003,1.0081512018706984
32,32,17.801999999999996,0.99279767832756
33,33,17.688,0.9782175286373339
34,34,17.568000000000005,0.9643981504506282
35,35,17.45,0.9499747194492036
36,36,17.334,0.9346199187865581
37,37,17.214000000000002,0.9207582229296637
38,38,17.093999999999998,0.9061871492892829
39,39,16.974000000000004,0.8920954428572463
40,40,16.859999999999996,0.8767930570065066
41,41,16.742000000000004,0.8607306655997005
42,42,16.621999999999996,0.8459659794731266
43,43,16.506,0.8338368820298928
44,44,16.384000000000004,0.8196371721569742
45,45,16.268000000000008,0.8051784185186214
46,46,16.152,0.7909209476113086
47,47,16.040000000000003,0.7757234004343823
48,48,15.922,0.7620259142453633
49,49,15.808000000000003,0.7479152234588367
50,50,15.685999999999998,0.7332928786189958
51,51,15.570000000000004,0.7192742210677318
52,52,15.451999999999998,0.7043485406151323
53,53,15.336000000000002,0.6902777731947239
54,54,15.221999999999994,0.6756969967977374
55,55,15.106,0.6619086749556026
56,56,14.986000000000004,0.6466456049691558
57,57,14.871999999999998,0.6325447619939051
58,58,14.750000000000004,0.618812959759786
59,59,14.631999999999996,0.6048427317018804
60,60,14.510000000000002,0.5892562893487322
61,61,14.392,0.5750607584646393
62,62,14.272000000000004,0.5600816912968373
63,63,14.149999999999999,0.5444953278376566
64,64,14.032000000000005,0.5287478053539952
